name:ID(strain_admin1),:LABEL
Kessel-Lo,Admin1
Anhui,Admin1
New South Wales,Admin1
Queensland,Admin1
Victoria,Admin1
Beijing,Admin1
Leuven,Admin1
Sint-Niklaas,Admin1
Kraainem,Admin1
Couthuin,Admin1
Flanders,Admin1
Holsbeek,Admin1
Brussels,Admin1
Huldenberg,Admin1
Rio de Janeiro,Admin1
Bahia,Admin1
Espirito Santo,Admin1
Sao Paulo,Admin1
Distrito Federal,Admin1
Sihanoukville,Admin1
British Columbia,Admin1
Ontario,Admin1
Santiago,Admin1
Talca,Admin1
Guangdong,Admin1
Shanghai,Admin1
Shandong,Admin1
Hubei,Admin1
Chongqing,Admin1
Kinshasa,Admin1
Usti nad Labem,Admin1
Copenhagen,Admin1
England,Admin1
Finland,Admin1
Helsinki,Admin1
Bretagne,Admin1
Bourgogne-France-Comté,Admin1
Grand Est,Admin1
Hauts de France,Admin1
Ile de France,Admin1
Normandie,Admin1
Pays de la Loire,Admin1
Auvergne Rhone Alpes,Admin1
Fujian,Admin1
Tbilisi,Admin1
Baden-Wuerttemberg,Admin1
Bavaria,Admin1
North Rhine Westphalia,Admin1
Zhejiang,Admin1
Hangzhou,Admin1
Henan,Admin1
Hong Kong,Admin1
Central Hungary,Admin1
Kerala,Admin1
Cork,Admin1
Dublin,Admin1
Limerick,Admin1
Lombardy,Admin1
Lazio,Admin1
Aichi,Admin1
Kanagawa,Admin1
Kyoto,Admin1
Nara,Admin1
Osaka,Admin1
Tokyo,Admin1
Jiangsu,Admin1
Jiangxi,Admin1
Hawali,Admin1
Luxembourg,Admin1
Mexico City,Admin1
Kathmandu,Admin1
North Brabant,Admin1
Drenthe,Admin1
South Holland,Admin1
North Holland,Admin1
Flevoland,Admin1
Gelderland,Admin1
Limburg,Admin1
Netherlands,Admin1
Overijssel,Admin1
Utrecht,Admin1
Auckland,Admin1
Lagos,Admin1
Nonthaburi,Admin1
Northern Ireland,Admin1
Panama City,Admin1
Lima,Admin1
Zielonogorskie,Admin1
Portugal,Admin1
Saint Petersburg,Admin1
Riyadh,Admin1
Scotland,Admin1
Sichuan,Admin1
Singapore,Admin1
Gyeonggi,Admin1
Seoul,Admin1
Chungcheongnam,Admin1
South Korea,Admin1
Comunitat Valenciana,Admin1
Småland,Admin1
Zurich,Admin1
Aargau,Admin1
Bern,Admin1
Basel,Admin1
Geneva,Admin1
Graubünden,Admin1
Schwyz,Admin1
Ticino,Admin1
Vaud,Admin1
Taiwan,Admin1
Taoyuan,Admin1
Arizona,Admin1
Grand Princess,Admin1
California,Admin1
Connecticut,Admin1
Diamond Princess,Admin1
Illinois,Admin1
Massachusetts,Admin1
Minnesota,Admin1
New York,Admin1
Texas,Admin1
Utah,Admin1
Washington,Admin1
Wisconsin,Admin1
Thanh Hoa,Admin1
Quangning,Admin1
Red River Delta,Admin1
Vinhphuc,Admin1
Wales,Admin1
Yunnan,Admin1
Guangxi,Admin1
