name:ID(strain_city),:LABEL
nan,City
Suzhou,City
Sydney,City
Gold Coast,City
Clayton,City
Melbourne,City
Leuven,City
Rio de Janeiro,City
Feira de Santana,City
Vila Velha,City
Sao Paulo,City
Brasilia,City
Guangzhou,City
Wuhan,City
Yongchuan,City
Zhongxian,City
Yorkshire,City
Rovaniemi,City
Foshan,City
Rennes,City
Montreux-Chateau,City
Thise,City
Strasbourg,City
Reims,City
Crépy en Valois,City
Compiègne,City
Château-Thierry,City
Paris,City
Pontoise,City
Garches,City
Longjumeau,City
Levallois-Perret,City
Rouen,City
Nantes,City
Contamines,City
Starnberg,City
Munich,City
Duesseldorf,City
Shenzhen,City
Zhuhai,City
Hangzhou,City
Hefei,City
Zhengzhou,City
Hong Kong,City
Budapest,City
Rome,City
Milan,City
Aichi,City
Kyoto,City
Tokyo,City
Huaian,City
Pingxiang,City
Jingzhou,City
Kathmandu,City
Andel,City
Berlicum,City
Blaricum,City
Coevorden,City
Dalen,City
Delft,City
Diemen,City
Eindhoven,City
Haarlem,City
Hardinxveld Giessendam,City
Helmond,City
Loon op zand,City
Naarden,City
Nieuwendijk,City
Nootdorp,City
Oisterwijk,City
Oss,City
Rotterdam,City
Tilburg,City
Utrecht,City
Zeewolde,City
Houten,City
Auckland,City
Bangkok,City
Qingdao,City
Chengdu,City
Singapore,City
Gyeonggi,City
Seoul,City
Chungcheongnam,City
Valencia,City
Jönköping,City
Kaohsiung,City
Taipei,City
Taoyuan,City
Tianmen,City
Phoenix,City
San Francisco,City
Los Angeles,City
Chicago,City
Boston,City
Kirkland,City
Seattle,City
Dane county,City
Hanoi,City
Cardiff,City
Kunming,City
Pu'er,City
