name:ID(strain_country),:LABEL
Belgium,Country
Mainland China,Country
Australia,Country
Brazil,Country
Cambodia,Country
Canada,Country
Chile,Country
Congo,Country
Czech Republic,Country
Denmark,Country
Italy,Country
United Kingdom,Country
Finland,Country
France,Country
Georgia,Country
Germany,Country
Hong Kong,Country
Hungary,Country
India,Country
Ireland,Country
Japan,Country
Kuwait,Country
Luxembourg,Country
Mexico,Country
Nepal,Country
Netherlands,Country
New Zealand,Country
Nigeria,Country
Thailand,Country
Panama,Country
Peru,Country
Poland,Country
Portugal,Country
Russia,Country
Saudi Arabia,Country
Singapore,Country
South Korea,Country
Spain,Country
Sweden,Country
Switzerland,Country
Taiwan,Country
USA,Country
Vietnam,Country
