:START_ID(host_id),:END_ID(strain_city),:TYPE
Anhui/SZ005/2020,Suzhou,LOCATED_IN
Australia/NSW01/2020,Sydney,LOCATED_IN
Australia/NSW02/2020,Sydney,LOCATED_IN
Australia/NSW03/2020,Sydney,LOCATED_IN
Australia/NSW05/2020,Sydney,LOCATED_IN
Australia/NSW06/2020,Sydney,LOCATED_IN
Australia/NSW07/2020,Sydney,LOCATED_IN
Australia/NSW08/2020,Sydney,LOCATED_IN
Australia/NSW09/2020,Sydney,LOCATED_IN
Australia/NSW10/2020,Sydney,LOCATED_IN
Australia/NSW11/2020,Sydney,LOCATED_IN
Australia/NSW12/2020,Sydney,LOCATED_IN
Australia/NSW13/2020,Sydney,LOCATED_IN
Australia/NSW14/2020,Sydney,LOCATED_IN
Australia/QLD01/2020,Gold Coast,LOCATED_IN
Australia/QLD02/2020,Gold Coast,LOCATED_IN
Australia/QLD03/2020,Gold Coast,LOCATED_IN
Australia/QLD04/2020,Gold Coast,LOCATED_IN
Australia/QLD09/2020,Gold Coast,LOCATED_IN
Australia/VIC01/2020,Clayton,LOCATED_IN
Australia/VIC02/2020,Melbourne,LOCATED_IN
Australia/VIC03/2020,Melbourne,LOCATED_IN
Australia/VIC04/2020,Melbourne,LOCATED_IN
Australia/VIC05/2020,Melbourne,LOCATED_IN
Australia/VIC06/2020,Melbourne,LOCATED_IN
Australia/VIC07/2020,Melbourne,LOCATED_IN
Belgium/GHB-03021/2020,Leuven,LOCATED_IN
Brazil-RJ/314/2020,Rio de Janeiro,LOCATED_IN
Brazil/BA-312/2020,Feira de Santana,LOCATED_IN
Brazil/ES-225/2020,Vila Velha,LOCATED_IN
Brazil/SPBR-01/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-02/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-05/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-06/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-07/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-08/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-09/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-10/2020,Brasilia,LOCATED_IN
Brazil/SPBR-11/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-12/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-13/2020,Sao Paulo,LOCATED_IN
Brazil/SPBR-14/2020,Sao Paulo,LOCATED_IN
China/IQTC01/2020,Guangzhou,LOCATED_IN
China/IQTC02/2020,Guangzhou,LOCATED_IN
China/WH-09/2020,Wuhan,LOCATED_IN
China/WHU01/2020,Wuhan,LOCATED_IN
China/WHU02/2020,Wuhan,LOCATED_IN
Chongqing/YC01/2020,Yongchuan,LOCATED_IN
Chongqing/ZX01/2020,Zhongxian,LOCATED_IN
England/Sheff01/2020,Yorkshire,LOCATED_IN
England/Sheff02/2020,Yorkshire,LOCATED_IN
Finland/1/2020,Rovaniemi,LOCATED_IN
Foshan/20SF207/2020,Foshan,LOCATED_IN
Foshan/20SF210/2020,Foshan,LOCATED_IN
Foshan/20SF211/2020,Foshan,LOCATED_IN
France/BFC2094/2020,Montreux-Chateau,LOCATED_IN
France/BFC2147/2020,Thise,LOCATED_IN
France/GE1583/2020,Strasbourg,LOCATED_IN
France/GE1973/2020,Reims,LOCATED_IN
France/GE1977/2020,Reims,LOCATED_IN
France/HF1684/2020,Crépy en Valois,LOCATED_IN
France/HF1795/2020,Compiègne,LOCATED_IN
France/HF1805/2020,Compiègne,LOCATED_IN
France/HF1870/2020,Compiègne,LOCATED_IN
France/HF1871/2020,Compiègne,LOCATED_IN
France/HF1986/2020,Compiègne,LOCATED_IN
France/HF1988/2020,Compiègne,LOCATED_IN
France/HF1989/2020,Compiègne,LOCATED_IN
France/HF1993/2020,Compiègne,LOCATED_IN
France/HF1995/2020,Compiègne,LOCATED_IN
France/HF2039/2020,Crépy en Valois,LOCATED_IN
France/HF2151/2020,Compiègne,LOCATED_IN
France/HF2174/2020,Compiègne,LOCATED_IN
France/IDF0372-isl/2020,Paris,LOCATED_IN
France/IDF0372/2020,Paris,LOCATED_IN
France/IDF0373/2020,Paris,LOCATED_IN
France/IDF0386-islP1/2020,Paris,LOCATED_IN
France/IDF0386-islP3/2020,Paris,LOCATED_IN
France/IDF0515-isl/2020,Paris,LOCATED_IN
France/IDF0515/2020,Paris,LOCATED_IN
France/IDF0571/2020,Paris,LOCATED_IN
France/IDF0626/2020,Paris,LOCATED_IN
France/IDF1980/2020,Pontoise,LOCATED_IN
France/N1620/2020,Rouen,LOCATED_IN
France/PL1643/2020,Nantes,LOCATED_IN
France/RA739/2020,Contamines,LOCATED_IN
Germany/BavPat1/2020,Starnberg,LOCATED_IN
Germany/BavPat2/2020,Munich,LOCATED_IN
Germany/BavPat3/2020,Munich,LOCATED_IN
Germany/NRW-011/2020,Duesseldorf,LOCATED_IN
Guangdong/20SF012/2020,Shenzhen,LOCATED_IN
Guangdong/20SF013/2020,Shenzhen,LOCATED_IN
Guangdong/20SF014/2020,Shenzhen,LOCATED_IN
Guangdong/20SF025/2020,Shenzhen,LOCATED_IN
Guangdong/20SF028/2020,Zhuhai,LOCATED_IN
Guangdong/20SF040/2020,Zhuhai,LOCATED_IN
Guangdong/20SF174/2020,Zhuhai,LOCATED_IN
Guangzhou/20SF206/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0014/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0016/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0030/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0031/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0042/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0044/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0047/2020,Guangzhou,LOCATED_IN
Guangzhou/GZMU0048/2020,Guangzhou,LOCATED_IN
Hangzhou/HZ-1/2020,Hangzhou,LOCATED_IN
Hangzhou/HZCDC0001/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-01/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-02/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-03/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-04/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-05/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-06/2020,Hangzhou,LOCATED_IN
Hangzhou/ZJU-07/2020,Hangzhou,LOCATED_IN
Hefei/2/2020,Hefei,LOCATED_IN
Henan/IVDC-HeN-002/2020,Zhengzhou,LOCATED_IN
HongKong/case42_VM20002493/2020,Hong Kong,LOCATED_IN
HongKong/case48_VM20002507/2020,Hong Kong,LOCATED_IN
HongKong/case49_VM20002508/2020,Hong Kong,LOCATED_IN
HongKong/case52_VM20002582/2020,Hong Kong,LOCATED_IN
HongKong/case78_VM20002849/2020,Hong Kong,LOCATED_IN
Hungary/mbl1/2020,Budapest,LOCATED_IN
Italy/INMI1-cs/2020,Rome,LOCATED_IN
Italy/INMI1-isl/2020,Rome,LOCATED_IN
Italy/SPL1/2020,Rome,LOCATED_IN
Italy/UniSR1/2020,Milan,LOCATED_IN
Japan/AI/I-004/2020,Aichi,LOCATED_IN
Japan/KY-V-029/2020,Kyoto,LOCATED_IN
Japan/TY-WK-012/2020,Tokyo,LOCATED_IN
Japan/TY-WK-501/2020,Tokyo,LOCATED_IN
Japan/TY-WK-521/2020,Tokyo,LOCATED_IN
Jiangsu/IVDC-JS-001/2020,Huaian,LOCATED_IN
Jiangxi/IVDC-JX-002/2020,Pingxiang,LOCATED_IN
Jingzhou/HBCDC-HB-01/2020,Jingzhou,LOCATED_IN
Nepal/61/2020,Kathmandu,LOCATED_IN
Netherlands/Andel_1365066/2020,Andel,LOCATED_IN
Netherlands/Berlicum_1363564/2020,Berlicum,LOCATED_IN
Netherlands/Blaricum_1364780/2020,Blaricum,LOCATED_IN
Netherlands/Coevorden_1363618/2020,Coevorden,LOCATED_IN
Netherlands/Dalen_1363624/2020,Dalen,LOCATED_IN
Netherlands/Delft_1363424/2020,Delft,LOCATED_IN
Netherlands/Diemen_1363454/2020,Diemen,LOCATED_IN
Netherlands/Eindhoven_1363782/2020,Eindhoven,LOCATED_IN
Netherlands/Haarlem_1363688/2020,Haarlem,LOCATED_IN
Netherlands/Hardinxveld_Giessendam_1364806/2020,Hardinxveld Giessendam,LOCATED_IN
Netherlands/Helmond_1363548/2020,Helmond,LOCATED_IN
Netherlands/Loon_op_zand_1363512/2020,Loon op zand,LOCATED_IN
Netherlands/Naarden_1364774/2020,Naarden,LOCATED_IN
Netherlands/Nieuwendijk_1363582/2020,Nieuwendijk,LOCATED_IN
Netherlands/Nootdorp_1364222/2020,Nootdorp,LOCATED_IN
Netherlands/Oisterwijk_1364072/2020,Oisterwijk,LOCATED_IN
Netherlands/Oss_1363500/2020,Oss,LOCATED_IN
Netherlands/Rotterdam_1363790/2020,Rotterdam,LOCATED_IN
Netherlands/Rotterdam_1364040/2020,Rotterdam,LOCATED_IN
Netherlands/Rotterdam_1364740/2020,Rotterdam,LOCATED_IN
Netherlands/Tilburg_/2020,Tilburg,LOCATED_IN
Netherlands/Tilburg_1363354/2020,Tilburg,LOCATED_IN
Netherlands/Tilburg_1364286/2020,Tilburg,LOCATED_IN
Netherlands/Utrecht_1363564/2020,Utrecht,LOCATED_IN
Netherlands/Utrecht_1363628/2020,Utrecht,LOCATED_IN
Netherlands/Utrecht_1364066/2020,Utrecht,LOCATED_IN
Netherlands/Zeewolde_1365080/2020,Zeewolde,LOCATED_IN
NetherlandsL/Houten_1363498/2020,Houten,LOCATED_IN
NewZealand/01/2020,Auckland,LOCATED_IN
Nonthaburi/61/2020,Bangkok,LOCATED_IN
Nonthaburi/74/2020,Bangkok,LOCATED_IN
Shandong/IVDC-SD-001/2020,Qingdao,LOCATED_IN
Shenzhen/HKU-SZ-002/2020,Shenzhen,LOCATED_IN
Shenzhen/HKU-SZ-005/2020,Shenzhen,LOCATED_IN
Shenzhen/SZTH-001/2020,Shenzhen,LOCATED_IN
Shenzhen/SZTH-002/2020,Shenzhen,LOCATED_IN
Shenzhen/SZTH-003/2020,Shenzhen,LOCATED_IN
Shenzhen/SZTH-004/2020,Shenzhen,LOCATED_IN
Sichuan/IVDC-SC-001/2020,Chengdu,LOCATED_IN
Singapore/1/2020,Singapore,LOCATED_IN
Singapore/10/2020,Singapore,LOCATED_IN
Singapore/11/2020,Singapore,LOCATED_IN
Singapore/12/2020,Singapore,LOCATED_IN
Singapore/13/2020,Singapore,LOCATED_IN
Singapore/14/2020,Singapore,LOCATED_IN
Singapore/2/2020,Singapore,LOCATED_IN
Singapore/3/2020,Singapore,LOCATED_IN
Singapore/4/2020,Singapore,LOCATED_IN
Singapore/5/2020,Singapore,LOCATED_IN
Singapore/6/2020,Singapore,LOCATED_IN
Singapore/7/2020,Singapore,LOCATED_IN
Singapore/8/2020,Singapore,LOCATED_IN
Singapore/9/2020,Singapore,LOCATED_IN
SouthKorea/KCDC03/2020,Gyeonggi,LOCATED_IN
SouthKorea/KCDC05/2020,Seoul,LOCATED_IN
SouthKorea/KCDC06/2020,Seoul,LOCATED_IN
SouthKorea/KCDC07/2020,Seoul,LOCATED_IN
SouthKorea/KCDC12/2020,Gyeonggi,LOCATED_IN
SouthKorea/KCDC24/2020,Chungcheongnam,LOCATED_IN
Spain/Valencia1/2020,Valencia,LOCATED_IN
Spain/Valencia2/2020,Valencia,LOCATED_IN
Spain/Valencia3/2020,Valencia,LOCATED_IN
Sweden/01/2020,Jönköping,LOCATED_IN
Taiwan/2/2020,Kaohsiung,LOCATED_IN
Taiwan/3/2020,Taipei,LOCATED_IN
Taiwan/4/2020,Taipei,LOCATED_IN
Taiwan/CGMH-CGU-01/2020,Taoyuan,LOCATED_IN
Taiwan/NTU01/2020,Taipei,LOCATED_IN
Taiwan/NTU02/2020,Taipei,LOCATED_IN
Taiwan/NTU03/2020,Taipei,LOCATED_IN
Tianmen/HBCDC-HB-07/2020,Tianmen,LOCATED_IN
USA/AZ1/2020,Phoenix,LOCATED_IN
USA/CA-CDPH-UC5/2020,San Francisco,LOCATED_IN
USA/CA-CDPH-UC6/2020,San Francisco,LOCATED_IN
USA/CA-CDPH-UC7/2020,San Francisco,LOCATED_IN
USA/CA-CDPH-UC8/2020,San Francisco,LOCATED_IN
USA/CA-CDPH-UC9/2020,San Francisco,LOCATED_IN
USA/CA1/2020,Los Angeles,LOCATED_IN
USA/IL1/2020,Chicago,LOCATED_IN
USA/MA1/2020,Boston,LOCATED_IN
USA/UC-CDPH-UC11/2020,San Francisco,LOCATED_IN
USA/WA-UW29/2020,Kirkland,LOCATED_IN
USA/WA-UW34/2020,Kirkland,LOCATED_IN
USA/WA-UW35/2020,Seattle,LOCATED_IN
USA/WA-UW47/2020,Seattle,LOCATED_IN
USA/WA-UW56/2020,Seattle,LOCATED_IN
USA/WA-UW69/2020,Seattle,LOCATED_IN
USA/WA-UW74/2020,Seattle,LOCATED_IN
USA/WA-UW75/2020,Seattle,LOCATED_IN
Vietnam/CM295/2020,Hanoi,LOCATED_IN
Vietnam/CM296/2020,Hanoi,LOCATED_IN
Wales/PHW10/2020,Cardiff,LOCATED_IN
Wuhan-Hu-1/2019,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-01/2019,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-02/2019,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-02/2020,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-03/2019,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-03/2020,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-04/2019,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-04/2020,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-05/2020,Wuhan,LOCATED_IN
Wuhan/HBCDC-HB-06/2020,Wuhan,LOCATED_IN
Wuhan/IPBCAMS-WH-01/2019,Wuhan,LOCATED_IN
Wuhan/IPBCAMS-WH-02/2019,Wuhan,LOCATED_IN
Wuhan/IPBCAMS-WH-03/2019,Wuhan,LOCATED_IN
Wuhan/IPBCAMS-WH-04/2019,Wuhan,LOCATED_IN
Wuhan/IPBCAMS-WH-05/2020,Wuhan,LOCATED_IN
Wuhan/IVDC-HB-01/2019,Wuhan,LOCATED_IN
Wuhan/IVDC-HB-04/2020,Wuhan,LOCATED_IN
Wuhan/IVDC-HB-05/2019,Wuhan,LOCATED_IN
Wuhan/WH01/2019,Wuhan,LOCATED_IN
Wuhan/WH02/2019,Wuhan,LOCATED_IN
Wuhan/WH03/2020,Wuhan,LOCATED_IN
Wuhan/WH04/2020,Wuhan,LOCATED_IN
Wuhan/WH05/2020,Wuhan,LOCATED_IN
Wuhan/WIV02/2019,Wuhan,LOCATED_IN
Wuhan/WIV04/2019,Wuhan,LOCATED_IN
Wuhan/WIV05/2019,Wuhan,LOCATED_IN
Wuhan/WIV06/2019,Wuhan,LOCATED_IN
Wuhan/WIV07/2019,Wuhan,LOCATED_IN
Yunnan/IVDC-YN-003/2020,Kunming,LOCATED_IN
Zhejiang/WZ-01/2020,Hangzhou,LOCATED_IN
Zhejiang/WZ-02/2020,Hangzhou,LOCATED_IN
bat/Yunnan/RaTG13/2013,Pu'er,LOCATED_IN
